yil,il,ilce,ilce_id,nufus
2023,Konya,Ahırlı,1868,5027
2023,Konya,Akören,1753,5902
2023,Konya,Akşehir,1122,92946
2023,Konya,Altınekin,1760,14851
2023,Konya,Beyşehir,1188,79030
2023,Konya,Bozkır,1207,25885
2023,Konya,Çeltik,1902,10324
2023,Konya,Cihanbeyli,1222,50922
2023,Konya,Çumra,1262,68543
2023,Konya,Derbent,1907,4160
2023,Konya,Derebucak,1789,5790
2023,Konya,Doğanhisar,1285,14815
2023,Konya,Emirgazi,1920,7945
2023,Konya,Ereğli,1312,153849
2023,Konya,Güneysınır,1933,9415
2023,Konya,Hadim,1375,11459
2023,Konya,Halkapınar,1937,4183
2023,Konya,Hüyük,1804,15431
2023,Konya,Ilgın,1400,53707
2023,Konya,Kadınhanı,1422,31852
2023,Konya,Karapınar,1441,51166
2023,Konya,Karatay,1814,375919
2023,Konya,Kulu,1491,52447
2023,Konya,Meram,1827,347341
2023,Konya,Sarayönü,1598,28967
2023,Konya,Selçuklu,1839,695771
2023,Konya,Seydişehir,1617,65928
2023,Konya,Taşkent,1848,6976
2023,Konya,Tuzlukçu,1990,6546
2023,Konya,Yalıhüyük,1994,1854
2023,Konya,Yunak,1735,21290
2024,Konya,Ahırlı,1868,4666
2024,Konya,Akören,1753,5857
2024,Konya,Akşehir,1122,93719
2024,Konya,Altınekin,1760,14593
2024,Konya,Beyşehir,1188,79629
2024,Konya,Bozkır,1207,25199
2024,Konya,Çeltik,1902,9726
2024,Konya,Cihanbeyli,1222,50021
2024,Konya,Çumra,1262,68551
2024,Konya,Derbent,1907,4014
2024,Konya,Derebucak,1789,5540
2024,Konya,Doğanhisar,1285,14445
2024,Konya,Emirgazi,1920,7739
2024,Konya,Ereğli,1312,156253
2024,Konya,Güneysınır,1933,9287
2024,Konya,Hadim,1375,11049
2024,Konya,Halkapınar,1937,4009
2024,Konya,Hüyük,1804,15033
2024,Konya,Ilgın,1400,53239
2024,Konya,Kadınhanı,1422,31494
2024,Konya,Karapınar,1441,51324
2024,Konya,Karatay,1814,385432
2024,Konya,Kulu,1491,51794
2024,Konya,Meram,1827,348071
2024,Konya,Sarayönü,1598,28533
2024,Konya,Selçuklu,1839,700358
2024,Konya,Seydişehir,1617,66067
2024,Konya,Taşkent,1848,5931
2024,Konya,Tuzlukçu,1990,6127
2024,Konya,Yalıhüyük,1994,1678
2024,Konya,Yunak,1735,20646
2025,Konya,Ahırlı,1868,4536
2025,Konya,Akören,1753,5744
2025,Konya,Akşehir,1122,93613
2025,Konya,Altınekin,1760,14374
2025,Konya,Beyşehir,1188,80353
2025,Konya,Bozkır,1207,24704
2025,Konya,Çeltik,1902,9482
2025,Konya,Cihanbeyli,1222,49126
2025,Konya,Çumra,1262,68803
2025,Konya,Derbent,1907,3954
2025,Konya,Derebucak,1789,5353
2025,Konya,Doğanhisar,1285,14097
2025,Konya,Emirgazi,1920,7647
2025,Konya,Ereğli,1312,158010
2025,Konya,Güneysınır,1933,9237
2025,Konya,Hadim,1375,10621
2025,Konya,Halkapınar,1937,3947
2025,Konya,Hüyük,1804,14878
2025,Konya,Ilgın,1400,53167
2025,Konya,Kadınhanı,1422,31478
2025,Konya,Karapınar,1441,51756
2025,Konya,Karatay,1814,395499
2025,Konya,Kulu,1491,51732
2025,Konya,Meram,1827,349685
2025,Konya,Sarayönü,1598,28401
2025,Konya,Selçuklu,1839,703449
2025,Konya,Seydişehir,1617,66079
2025,Konya,Taşkent,1848,5669
2025,Konya,Tuzlukçu,1990,6052
2025,Konya,Yalıhüyük,1994,1704
2025,Konya,Yunak,1735,20259